Adversarial loss,Identity loss,Forward loss,Backward loss,Weighted overall loss
0.6525451,0.43417084,0.4340768,0.449776,0.72887045
0.73279333,0.3788873,0.34906524,0.38684908,0.62414813
0.7060641,0.36190605,0.34055978,0.37209788,0.6026355
0.7107855,0.3460968,0.31677884,0.35272664,0.5710204
0.6850509,0.32916525,0.31875288,0.33693874,0.5554872
0.6748501,0.31717876,0.30639994,0.32383317,0.53519213
0.6946982,0.3086891,0.28888342,0.31516156,0.5174122
0.68980616,0.29410145,0.26893285,0.3012309,0.49137193
0.6444149,0.31144896,0.28786772,0.31307247,0.5131913
0.6803343,0.29733706,0.2605872,0.3031831,0.48779505
0.6413308,0.3081027,0.27399877,0.31237602,0.5028495
0.5953712,0.28500652,0.27705988,0.2892033,0.48018968
