Adversarial loss,Identity loss,Forward loss,Backward loss,Weighted overall loss
0.28308704,0.3949033,0.43723938,0.40964466,0.6704027
0.21304616,0.3499541,0.36111552,0.35057536,0.56748295
0.23154762,0.3233054,0.35102454,0.32240054,0.53639543
0.27223605,0.3105005,0.32622135,0.30618376,0.50929934
0.2779801,0.2897952,0.3234901,0.28905034,0.49077255
0.30112788,0.31064555,0.2961334,0.3046413,0.49138138
0.4139027,0.28331208,0.29536638,0.2783518,0.4729779
0.34390736,0.29370803,0.2882035,0.28761905,0.47316715
0.32021007,0.27302098,0.27675742,0.2703345,0.44726467
0.37533304,0.2765195,0.28642127,0.2719125,0.45882925
0.39396018,0.26589134,0.25996697,0.25961837,0.43245438
0.35605595,0.26067862,0.26629353,0.25483632,0.42942178
0.32201892,0.25490892,0.26883733,0.25411898,0.42663297
0.34078106,0.26245344,0.27337623,0.25925413,0.4362094
0.3729041,0.26952437,0.27324468,0.26598683,0.4445525
0.37309977,0.24769488,0.25912067,0.24724503,0.4172021
0.30306122,0.26442102,0.27504298,0.257469,0.43439302
0.30688205,0.2528138,0.2524814,0.24822734,0.41112736
