Adversarial loss,Identity loss,Forward loss,Backward loss,Weighted overall loss
0.26382244,0.38205937,0.31648412,0.39271346,0.5791309
0.19524059,0.31420878,0.28441665,0.32302612,0.49004456
0.20503035,0.27453327,0.28543496,0.2900399,0.45827785
0.22243454,0.28666717,0.2550289,0.2913185,0.4449529
0.21499039,0.27225006,0.2613597,0.27387425,0.43303636
0.24764979,0.27977982,0.25761908,0.28016013,0.4390212
0.20105885,0.27009356,0.23769023,0.26932535,0.41385517
0.1921143,0.26958698,0.24469426,0.26361266,0.4139448
0.23606929,0.2562094,0.23788399,0.25492612,0.40282616
0.2611064,0.24563746,0.23098432,0.24010569,0.3875121
0.25895244,0.25449425,0.23135142,0.2478799,0.3952336
0.27931646,0.23058452,0.23076086,0.22981605,0.37737557
0.3077492,0.24542093,0.22463568,0.24211408,0.3876471
0.31632915,0.26307166,0.24210405,0.25384697,0.41194984
0.34007484,0.23384023,0.22043653,0.2302669,0.3760194
0.32034895,0.23122567,0.22942548,0.2262434,0.37707287
0.35918334,0.25061047,0.22092344,0.23710261,0.38703108
0.31043565,0.24727976,0.20561758,0.2421545,0.3765348
