Adversarial loss,Identity loss,Forward loss,Backward loss,Weighted overall loss
0.37300187,0.35708478,0.33276004,0.36987,0.57404524
0.27315113,0.3034857,0.28157777,0.31096694,0.48225167
0.31551394,0.2998758,0.26498872,0.3082436,0.47170106
0.33793986,0.27529013,0.26733133,0.2855992,0.452731
0.38145012,0.27802303,0.24756378,0.27988702,0.44037968
0.36909142,0.28912398,0.2604383,0.2963039,0.4613834
0.39133433,0.26806527,0.250727,0.27920696,0.4394375
0.37830022,0.25892007,0.24229853,0.26829457,0.4236769
0.40809315,0.2566349,0.23640668,0.26162136,0.41697168
0.3711546,0.2576066,0.23465854,0.26517397,0.41609463
0.34624583,0.26335993,0.23433274,0.26813158,0.41798058
0.36954433,0.258187,0.23864853,0.2648031,0.41843724
