Adversarial loss,Identity loss,Forward loss,Backward loss,Weighted overall loss
0.33698848,0.3245369,0.326689,0.317538,0.5251213
0.31222764,0.27219,0.2786611,0.26305184,0.44314408
0.2947652,0.26053715,0.2764697,0.24763237,0.42740443
0.28904033,0.25571936,0.25448614,0.24487905,0.41008064
0.32535046,0.23846492,0.255768,0.22911169,0.39790452
0.32604328,0.2458653,0.27001408,0.23924828,0.4154996
0.34656027,0.2438136,0.24997492,0.23135553,0.39868337
0.31735462,0.23368652,0.23880225,0.22508477,0.382791
0.31786406,0.22849378,0.2366065,0.21770535,0.37521568
0.32878986,0.22914189,0.2397937,0.21952529,0.37923065
0.3102208,0.227517,0.24249116,0.21721822,0.3778063
0.316382,0.23549934,0.24006717,0.21966098,0.38069755
