Adversarial loss,Identity loss,Forward loss,Backward loss,Weighted overall loss
0.30710658,0.33388978,0.34697098,0.35132748,0.5599712
0.20297088,0.3164514,0.29162526,0.32837218,0.49907517
0.20595624,0.30764878,0.28684393,0.31535262,0.48538524
0.14894973,0.2835929,0.2737206,0.28893036,0.4495892
0.18162924,0.28176174,0.24858853,0.28780454,0.43464783
0.21889572,0.27464166,0.24363726,0.27678272,0.42476898
0.18802391,0.2622741,0.23942581,0.26399133,0.40834787
0.18633121,0.27298918,0.24619506,0.2741031,0.42214128
0.19988734,0.2784142,0.2469957,0.2867168,0.43306777
0.19464667,0.25625756,0.25078118,0.2599502,0.41145295
0.21253254,0.26957783,0.23447815,0.27110177,0.4135139
0.17844205,0.25335595,0.24503146,0.2563637,0.40369824
0.18751216,0.24154854,0.22322093,0.243181,0.37870458
0.19145387,0.23995051,0.22961573,0.23949099,0.38014212
0.22841695,0.24735087,0.22916685,0.24712542,0.38925588
0.19851509,0.25821197,0.23439191,0.25458574,0.39870945
0.18321042,0.24417438,0.23030072,0.23692027,0.37976828
0.23439911,0.24331668,0.241141,0.23769577,0.38995942
