Adversarial loss,Identity loss,Forward loss,Backward loss,Weighted overall loss
0.2732881,0.34326732,0.3257923,0.3409487,0.5410646
0.22270077,0.28511864,0.3088063,0.28628814,0.4749522
0.14448881,0.27260336,0.29556727,0.27546293,0.451113
0.17378213,0.2547,0.27334607,0.25916845,0.42327678
0.1456656,0.23802152,0.27578303,0.23781352,0.40448365
0.1527491,0.23399414,0.26425433,0.23470154,0.39451733
0.16421144,0.23161535,0.25047266,0.22836342,0.3819155
0.17265472,0.23705253,0.2625183,0.23485133,0.39572588
0.1473055,0.23897906,0.26987484,0.2375493,0.40102768
0.15393318,0.24085534,0.2498685,0.24153158,0.39201328
0.18088779,0.22883958,0.26056448,0.22923124,0.3889401
0.18071924,0.23367383,0.24522746,0.23374285,0.38367447
0.14570007,0.21766901,0.23249806,0.21655583,0.35778666
0.1303567,0.22627546,0.22771233,0.22277519,0.36041304
0.13383245,0.22487515,0.23568535,0.22019394,0.3635626
0.13479616,0.23317952,0.24519204,0.22579913,0.3756628
0.1470467,0.23324293,0.22712316,0.22141762,0.36241677
0.13817331,0.23520084,0.2275305,0.23258868,0.36971062
