Adversarial loss,Identity loss,Forward loss,Backward loss,Weighted overall loss
0.34111643,0.41393626,0.39641494,0.42787883,0.66585857
0.31951723,0.36079642,0.3408892,0.3635156,0.57297164
0.47269708,0.34810448,0.32116377,0.3510453,0.5584567
0.59473056,0.3304292,0.3023283,0.33334416,0.5377249
0.6716674,0.313249,0.28562626,0.32054457,0.5187262
0.61658514,0.3189219,0.30692288,0.32069612,0.5304616
0.6966645,0.30673808,0.29923967,0.30963624,0.51994467
0.6906167,0.28647685,0.2813277,0.29068032,0.4901925
0.66876304,0.2926512,0.2719921,0.29386064,0.48690918
0.6971337,0.29481608,0.28219664,0.29906982,0.49899247
0.6956307,0.31510177,0.27228698,0.3157029,0.5094399
0.66580945,0.27635077,0.26975748,0.27785993,0.4702337
0.64894706,0.27669105,0.24908847,0.28191128,0.4588999
0.6579515,0.27750733,0.2582881,0.27774116,0.46286142
0.7372598,0.27101523,0.26118323,0.27581716,0.46639618
0.6809341,0.28645572,0.26235777,0.28971165,0.4771191
0.6498243,0.263994,0.2575817,0.2708749,0.45339742
0.5837541,0.27607378,0.24504939,0.27901074,0.4502953
