Adversarial loss,Identity loss,Forward loss,Backward loss,Weighted overall loss
0.31038302,0.37440965,0.39866033,0.37936375,0.6226669
0.30032107,0.32807073,0.3409649,0.328163,0.53949726
0.37228096,0.31304997,0.3321985,0.30863944,0.52161944
0.4775364,0.2964739,0.31727254,0.29436383,0.5047669
0.5388666,0.27777988,0.30069533,0.2752727,0.48046544
0.5285634,0.29698497,0.30323273,0.29707032,0.50103235
0.5468603,0.29438016,0.29425177,0.29102892,0.491973
0.5381727,0.2762225,0.2763004,0.2716098,0.46239918
0.5619927,0.2660881,0.27883857,0.26291767,0.4568747
0.51198655,0.27828035,0.28354973,0.2728485,0.46671057
0.5616426,0.26461273,0.30324736,0.26227432,0.47124517
0.5898237,0.26690122,0.26268613,0.26187918,0.448124
0.5252474,0.24511373,0.26812214,0.24149337,0.4279357
0.5831906,0.2536756,0.26282528,0.24965729,0.43602467
0.49044698,0.25392282,0.26203927,0.24948774,0.4297082
0.5518787,0.25897086,0.27515683,0.2510678,0.44431117
0.58403563,0.25217673,0.25479493,0.2468942,0.42886317
0.5660935,0.24158786,0.2637883,0.23260278,0.42112163
