Adversarial loss,Identity loss,Forward loss,Backward loss,Weighted overall loss
0.40413174,0.4494354,0.41976458,0.46231037,0.7170036
0.33085588,0.3748291,0.36086157,0.38152593,0.60180473
0.3158997,0.36419404,0.33352423,0.36582357,0.5706465
0.3602506,0.34036672,0.3163638,0.33776346,0.53770953
0.39484423,0.3364453,0.29799232,0.3371338,0.52677065
0.4308455,0.30629557,0.31477335,0.30972472,0.51295656
0.5346867,0.30949572,0.28781363,0.30872265,0.5029708
0.5293809,0.29931477,0.29688197,0.30239686,0.50117147
0.52692086,0.2886624,0.27922526,0.28902504,0.478296
0.58102536,0.2968486,0.28296304,0.30137214,0.4942886
0.46313232,0.27357015,0.2683689,0.27226844,0.4523348
0.546657,0.27714503,0.26624745,0.28087258,0.4627239
0.55182916,0.2787523,0.2627865,0.28274882,0.46255904
0.55261177,0.2877611,0.26878107,0.28645492,0.4714861
0.5927546,0.28359994,0.27368435,0.2861439,0.47556487
0.6159155,0.26921916,0.25634843,0.2704391,0.45186794
0.48952994,0.2873094,0.26823622,0.28990626,0.46921885
0.55336004,0.26568663,0.25822693,0.26543435,0.4449005
