Adversarial loss,Identity loss,Forward loss,Backward loss,Weighted overall loss
0.27198973,0.3124249,0.36527428,0.30903858,0.53607786
0.1517882,0.2762537,0.30010405,0.2785156,0.45745346
0.1351648,0.27414277,0.2664708,0.27452698,0.43224105
0.13241406,0.24139051,0.27122736,0.24256997,0.4048338
0.16157503,0.24984367,0.25463307,0.25061926,0.4039572
0.14851847,0.2480771,0.26445752,0.24467057,0.4050115
0.23360786,0.22978033,0.25395116,0.22620745,0.38650605
0.15987268,0.23222333,0.24853495,0.23363568,0.3839185
0.18152787,0.233526,0.24053335,0.22871137,0.3776003
0.2029239,0.22540963,0.22624893,0.22311692,0.36397678
0.20783982,0.22376586,0.23644048,0.21985357,0.3681005
0.20818771,0.22697014,0.21749155,0.22225973,0.35878456
0.2395884,0.22148636,0.2277895,0.21682793,0.3620746
0.23549335,0.23081125,0.23643948,0.23228686,0.37980095
0.20297176,0.2197695,0.21878815,0.2146085,0.3522365
0.23740397,0.2246304,0.21506028,0.22129603,0.35775757
0.21214458,0.21741539,0.22425058,0.21426083,0.35527107
0.1949662,0.20324953,0.2312105,0.19984648,0.34511128
